,player_name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,is_new_player,total_points_sum,total_points_mean,non_zero_gw_count,total_points_non_zero_sum,total_points_non_zero_mean,price,position,DC_points,first_10_mean,first_5_mean
5,Milos Kerkez,Liverpool,,7.0,7.0,2.0,12.0,8.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,2.6666666666666665,2.0,1.0,4.0,1.0,2.6666666666666665,1.0,2.0,2.6666666666666665,,2.0,10.0,2.0,1.0,2.0,7.0,8.0,4.0,6.0,1.0,6.0,6.0,2.0,2.0,4.0,False,132.0,3.6666666666666665,36,132.0,3.6666666666666665,6.0,Defender,10.0,4.463157894736843,5.863157894736842
439,Liam Delap,Chelsea,2.0,6.0,7.0,5.0,1.0,1.0,2.0,2.0,5.5,11.0,8.0,1.0,1.0,1.0,9.0,2.0,1.0,12.0,1.0,2.0,8.0,2.0,2.0,0.0,1.0,5.5,5.5,2.0,8.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,False,126.5,3.3289473684210527,36,126.5,3.513888888888889,6.5,Forward,,4.25,4.2
223,Dejan Kulusevski,Spurs,1.3333333333333333,6.0,0.0,2.0,1.0,5.0,6.0,5.0,9.0,7.0,3.0,2.0,1.0,2.0,2.0,2.0,7.0,1.0,3.0,1.3333333333333333,2.0,9.0,6.0,1.0,11.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,1.0,0.0,1.3333333333333333,0.0,6.0,False,117.0,3.0789473684210527,33,117.0,3.5454545454545454,6.5,Midfielder,,4.2333333333333325,2.0666666666666664
17,Luis Díaz Marulanda,Liverpool,16.0,1.0,8.0,,9.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,9.0,,,1.0,13.0,12.0,,6.0,5.0,,3.0,8.0,6.0,,1.0,9.0,2.0,7.0,1.0,1.0,3.0,2.0,15.0,1.0,12.0,14.0,False,179.0,5.59375,31,179.0,5.774193548387097,8.0,Midfielder,,4.2,6.8
119,Anthony Gordon,Newcastle,1.0,8.0,3.6666666666666665,9.0,10.0,6.0,2.0,1.0,1.0,0.0,1.0,9.0,1.0,2.0,3.3333333333333335,3.6666666666666665,3.0,6.0,3.6666666666666665,1.0,3.3333333333333335,2.0,10.0,2.0,0.0,7.0,2.0,1.0,1.0,0.0,3.3333333333333335,5.0,2.0,2.0,2.0,2.0,2.0,2.0,False,124.0,3.263157894736842,35,124.0,3.5428571428571427,7.5,Midfielder,,4.166666666666666,6.333333333333333
449,Marc Guéhi,Crystal Palace,2.0,2.0,1.0,2.0,8.0,2.0,9.0,6.0,6.0,1.0,-1.0,7.0,6.0,7.666666666666667,5.0,1.0,7.666666666666667,6.0,1.0,0.0,2.0,7.666666666666667,2.0,2.0,-1.0,2.0,0.0,6.0,7.0,2.0,0.0,3.0,1.0,0.0,7.0,4.0,0.0,-1.0,False,123.00000000000001,3.2368421052631584,33,123.00000000000001,3.7272727272727275,4.5,Defender,10.0,4.163157894736842,3.263157894736842
592,Bukayo Saka,Arsenal,4.712962962962963,6.333333333333333,2.0,13.0,4.712962962962963,2.0,4.712962962962963,2.0,1.0,0.75,0.75,4.712962962962963,2.0,1.0,6.0,12.0,1.0,6.0,4.712962962962963,4.712962962962963,9.0,4.712962962962963,3.0,0.75,6.333333333333333,4.712962962962963,7.0,4.712962962962963,4.712962962962963,3.0,4.712962962962963,2.0,4.0,3.0,8.0,18.0,6.333333333333333,1.0,False,127.24999999999999,3.3486842105263155,27,127.24999999999999,4.712962962962963,10.0,Midfielder,,4.122222222222222,6.151851851851852
175,Danny Welbeck,Brighton,1.0,12.0,2.0,2.0,8.0,2.0,9.0,1.0,2.0,2.0,9.0,4.166666666666667,1.0,4.166666666666667,2.0,5.0,2.0,2.0,4.166666666666667,2.0,1.0,7.0,4.166666666666667,2.0,4.166666666666667,4.166666666666667,5.0,6.0,4.166666666666667,0.6666666666666666,5.0,0.6666666666666666,4.166666666666667,8.0,9.0,7.0,0.6666666666666666,9.0,False,125.0,3.289473684210526,30,125.0,4.166666666666667,6.5,Forward,,4.1,5.0
122,Bruno Guimarães Rodriguez Moura,Newcastle,1.0,8.0,4.0,6.0,2.0,3.0,2.0,2.0,2.0,11.0,2.0,1.0,3.0,1.0,4.333333333333333,4.0,7.0,3.0,4.0,8.0,4.333333333333333,7.0,3.0,2.0,2.0,6.0,1.0,2.0,8.0,2.0,4.333333333333333,2.0,9.0,2.0,2.0,2.0,2.0,2.0,False,141.0,3.710526315789474,38,141.0,3.710526315789474,6.5,Midfielder,,4.1,4.2
325,Aaron Wan-Bissaka,West Ham,5.0,1.0,1.0,7.0,1.0,2.0,12.0,2.0,5.0,2.0,3.0,5.0,0.0,12.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,3.0,-1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,2.0,6.0,15.0,3.0,False,118.0,3.1052631578947367,34,118.0,3.4705882352941178,4.5,Defender,10.0,4.063157894736842,3.263157894736842
8,Ibrahima Konaté,Liverpool,8.0,0.0,1.0,3.3333333333333335,6.0,6.0,0.0,1.0,6.0,6.0,6.0,2.0,0.0,2.3333333333333335,3.3333333333333335,1.0,0.0,0.0,2.3333333333333335,1.0,1.0,2.3333333333333335,6.0,6.0,0.0,3.3333333333333335,2.0,2.0,7.0,2.0,1.0,0.0,6.0,2.0,6.0,1.0,0.0,7.0,False,110.0,2.8947368421052633,30,110.0,3.6666666666666665,5.5,Defender,10.0,3.9964912280701754,3.929824561403509
446,Maxence Lacroix,Crystal Palace,,2.0,1.0,3.0,7.0,2.0,4.0,6.0,6.0,0.0,2.0,1.0,5.0,6.0,9.0,7.0,6.0,5.0,0.0,-1.0,2.0,6.0,2.0,2.0,2.0,3.0,1.0,10.0,6.0,3.0,-1.0,2.0,,2.0,6.0,1.0,,0.0,False,118.0,3.3714285714285714,32,118.0,3.6875,5.0,Defender,34.0,3.9947368421052634,3.4947368421052634
582,William Saliba,Arsenal,2.0,3.0,1.0,7.0,2.0,2.0,2.0,9.0,6.0,3.25,3.25,2.0,2.0,2.0,6.0,6.0,2.0,2.0,0.0,-3.0,0.0,8.0,15.0,3.25,3.0,2.0,5.0,9.0,2.0,6.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,False,132.75,3.4934210526315788,36,132.75,3.6875,6.0,Defender,10.0,3.988157894736842,3.263157894736842
344,José Malheiro de Sá,Wolves,2.0,9.0,3.0,1.0,6.0,6.0,1.0,3.6666666666666665,6.0,2.0,2.0,2.0,0.0,1.0,8.0,2.0,4.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,3.6666666666666665,1.0,6.0,2.0,2.0,3.6666666666666665,False,93.0,2.4473684210526314,28,93.0,3.3214285714285716,4.5,Goalkeeper,,3.9666666666666672,4.2
430,Moisés Caicedo Corozo,Chelsea,2.0,6.0,2.0,3.0,9.0,2.0,6.0,2.0,2.6666666666666665,5.0,1.0,1.6666666666666667,2.0,1.6666666666666667,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,3.0,1.6666666666666667,False,98.00000000000001,2.578947368421053,38,98.00000000000001,2.578947368421053,5.5,Midfielder,,3.9666666666666663,4.4
157,Yankuba Minteh,Brighton,2.0,4.0,0.0,0.0,7.0,1.0,3.0,9.0,12.0,1.6666666666666667,5.0,1.0,2.0,0.0,1.0,0.0,1.6666666666666667,4.0,1.0,1.6666666666666667,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.333333333333333,2.0,4.333333333333333,2.0,15.0,0.0,0.0,4.333333333333333,2.0,False,101.99999999999999,2.684210526315789,30,101.99999999999999,3.3999999999999995,6.0,Midfielder,,3.9666666666666663,2.6
108,Fabian Schär,Newcastle,5.0,7.0,6.0,0.0,0.0,5.0,1.0,6.0,1.0,6.0,0.0,1.0,5.0,0.0,3.3333333333333335,6.0,5.0,5.0,6.0,2.0,3.3333333333333335,8.0,6.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,3.3333333333333335,2.0,0.0,2.0,2.0,2.0,1.0,1.0,False,106.0,2.789473684210526,30,106.0,3.533333333333333,5.5,Defender,10.0,3.963157894736842,3.863157894736842
